no;x1;x2;x3;x4;treat;y;ybinom;x1mis;x2mis;x3mis;x4mis
1;0.585528818;1.677511791;-0.607841112;0.509892116;1;258.1439543;1;1.340127031;10.59998123;0.20098668;492.2808921
2;0.709466018;0.079474055;1.076223138;-0.715364267;0;233.1829943;1;1.425799927;10.02620393;0.250692616;374.9687479
3;-0.109303315;-0.856427497;-0.576425791;-0.405521536;0;183.0203585;0;0.946814907;9.548406932;0.218733275;351.1145541
4;-0.453497173;-0.778777287;1.098626364;-0.012521187;0;201.242287;0;0.797121164;9.523800744;0.195183704;368.9742143
5;0.605887456;-0.380936084;1.407341688;1.100881038;0;256.4934488;1;1.353838279;9.865530364;0.25496991;429.3161189
6;-1.817955968;-1.89735834;0.036656152;0.957375789;1;158.4864634;0;0.402935821;8.367663386;0.213133954;363.2842652
7;0.630098551;-0.071770912;1.923918629;-0.550847682;0;244.2817764;1;1.370326833;9.975060456;0.272715939;375.4829102
8;-0.276184105;-1.030864591;-1.255018755;-0.461619378;0;166.3662012;0;0.871018509;9.413839611;0.231322498;342.5281496
9;-0.284159744;0.670695476;-1.197064107;0.451086496;1;210.8017931;1;0.867551961;10.38267586;0.231030556;446.1296737
10;-0.919322002;-0.361287755;-1.494644232;-1.200216296;0;141.2086386;0;0.631497686;9.741713961;0.280962949;339.9781329
11;-0.116247806;-0.279306356;0.712897816;0.358842455;0;216.4495898;1;0.943533033;9.852238763;0.212439638;403.1877699
12;1.817312044;-0.645890407;-0.548898564;-1.076084063;0;228.7545052;1;2.480985901;9.909732476;0.175709345;334.0862173
13;0.370627864;-0.515729093;0.024437253;-0.163271206;1;222.0895707;1;1.203596228;9.789381748;0.216391504;373.3010294
14;0.520216458;-1.374556133;-0.430050682;0.935962688;1;223.4620857;1;1.297070459;9.487563247;0.206478749;382.6486264
15;-0.750531995;1.010377828;-0.895087588;-0.606126765;1;195.3159836;0;0.687106486;10.68634421;0.246340569;416.3334615
16;0.81689984;0.453706456;1.277237997;-0.313638984;0;251.4659113;1;1.504483906;10.1390257;0.264281778;405.6223178
17;-0.886357521;0.27488033;-0.087697832;-0.216433884;0;184.7293518;0;0.641992434;10.19465319;0.219375438;402.3412738
18;-0.33157759;-1.271791225;-2.455562193;-0.525400069;1;154.0217446;0;0.847225154;9.259635413;0.253117649;331.3422448
19;1.120712652;0.973595242;0.896467301;1.139303935;0;282.6114348;1;1.751296421;10.23938674;0.262374209;488.98031
20;0.298723699;1.280787124;0.755326369;-0.661885031;1;245.8734713;1;1.161093054;10.54544819;0.225894742;425.1391235
21;0.779621925;-0.025876547;0.269681729;1.379430399;0;252.6224444;1;1.476701615;9.991864378;0.225210696;455.9742621
22;1.455785082;-1.73596378;1.160171782;-0.780738067;0;229.4421087;1;2.070712066;9.671706972;0.297486907;305.6657143
